request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,11406.91,not_affordable,not_recommended,none,,none,"Only ZAR 11406.91 is safe on 2024-03-03, and no allowed plan keeps the balance above the ZAR 18000 minimum within 90 days."
request_02,18433741.34,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,Use the supplied installment option starting 2025-08-08; the schedule stays above the IDR 29158400 minimum.
request_03,0,not_affordable,not_recommended,none,,none,"Only IDR 0 is safe on 2019-09-03, and no allowed plan keeps the balance above the IDR 2668700 minimum within 90 days."
request_04,0,not_affordable,not_recommended,none,,none,"Only IDR 0 is safe on 2024-06-04, and no allowed plan keeps the balance above the IDR 30686600 minimum within 90 days."
request_05,15488,affordable_now,full_payment,2025-11-06:15488,2025-11-06,none,Pay ZAR 15488 today while staying above the ZAR 13100 minimum over 90 days.
request_06,620.4,affordable_now,full_payment,2026-01-03:620.4,2026-01-03,none,Pay EUR 620.4 today while staying above the EUR 800 minimum over 90 days.
request_07,91415.63,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-24,none,Use the supplied installment option starting 2024-09-12; the schedule stays above the INR 93000 minimum.
request_08,0,not_affordable,not_recommended,none,,none,"Only EUR 0 is safe on 2025-02-07, and no allowed plan keeps the balance above the EUR 800 minimum within 90 days."
request_09,166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today while staying above the EUR 600 minimum over 90 days.
request_10,266700,not_affordable,not_recommended,none,2024-12-06,none,"Only INR 266700 is safe on 2024-12-06, and no allowed plan keeps the balance above the INR 225400 minimum within 90 days."
request_11,0,not_affordable,not_recommended,none,,none,"Only IDR 0 is safe on 2025-05-03, and no allowed plan keeps the balance above the IDR 34140600 minimum within 90 days."
request_12,65164,affordable_with_plan,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,none,Use the supplied installment option starting 2026-04-19; the schedule stays above the ZAR 43200 minimum.
request_13,225.9,not_affordable,not_recommended,none,,none,"Only EUR 225.9 is safe on 2024-03-07, and no allowed plan keeps the balance above the EUR 1300 minimum within 90 days."
request_14,0,not_affordable,not_recommended,none,,none,"Only EUR 0 is safe on 2025-08-04, and no allowed plan keeps the balance above the EUR 2200 minimum within 90 days."
request_15,0,not_affordable,not_recommended,none,,none,"Only EUR 0 is safe on 2026-01-06, and no allowed plan keeps the balance above the EUR 1200 minimum within 90 days."
request_16,122500,affordable_now,full_payment,2023-08-12:122500,2023-08-12,none,Pay INR 122500 today while staying above the INR 122400 minimum over 90 days.
request_17,270045.79,affordable_with_plan,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,none,Use the supplied installment option starting 2026-03-01; the schedule stays above the INR 166100 minimum.
request_18,787.59,affordable_later,wait,2026-08-15:3246.1,2026-08-15,none,Wait until 2026-08-15 to pay EUR 3246.1 in full; paying earlier would risk the EUR 1400 minimum.
request_19,39660,affordable_with_plan,installments,2024-09-04:20623.2|2024-10-02:20623.2,2024-09-04,none,Use the supplied installment option starting 2024-09-04; the schedule stays above the INR 92800 minimum.
request_20,25915.67,not_affordable,not_recommended,none,,none,"Only INR 25915.67 is safe on 2026-02-07, and no allowed plan keeps the balance above the INR 64500 minimum within 90 days."
request_21,1574.4,affordable_now,full_payment,2026-04-03:1574.4,2026-04-03,none,Pay USD 1574.4 today while staying above the USD 1800 minimum over 90 days.
request_22,527.73,affordable_with_plan,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-15,none,Use the supplied installment option starting 2024-12-08; the schedule stays above the EUR 500 minimum.
request_23,9296.97,affordable_later,wait,2025-07-15:38016,2025-07-15,none,Wait until 2025-07-15 to pay ZAR 38016 in full; paying earlier would risk the ZAR 27000 minimum.
request_24,17669.53,not_affordable,not_recommended,none,,none,"Only INR 17669.53 is safe on 2026-01-04, and no allowed plan keeps the balance above the INR 51000 minimum within 90 days."
request_25,4303086.52,not_affordable,not_recommended,none,,none,"Only IDR 4303086.52 is safe on 2024-03-06, and no allowed plan keeps the balance above the IDR 23379100 minimum within 90 days."
