request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today while staying above the IDR 24768300 minimum over 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today while staying above the ZAR 20500 minimum over 90 days.
request_28,310.7,not_affordable,not_recommended,none,,none,"Only EUR 310.7 is safe on 2024-06-07, and no allowed plan keeps the balance above the EUR 1100 minimum within 90 days."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 today while staying above the ZAR 28300 minimum over 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Use the supplied installment option starting 2026-04-06; the schedule stays above the USD 900 minimum.
request_31,5182290.26,affordable_later,wait,2024-10-15:18164000,2024-10-15,none,Wait until 2024-10-15 to pay IDR 18164000 in full; paying earlier would risk the IDR 16588900 minimum.
request_32,0,not_affordable,not_recommended,none,,none,"Only ZAR 0 is safe on 2025-02-05, and no allowed plan keeps the balance above the ZAR 35700 minimum within 90 days."
request_33,55045.75,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Wait until 2026-01-15 to pay INR 118000 in full; paying earlier would risk the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today while staying above the INR 138500 minimum over 90 days.
request_35,51730.62,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Wait until 2026-01-15 to pay INR 212000 in full; paying earlier would risk the INR 106400 minimum.
request_36,585.21,affordable_later,wait,2026-09-15:3954,2026-09-15,none,Wait until 2026-09-15 to pay USD 3954 in full; paying earlier would risk the USD 2400 minimum.
request_37,0,not_affordable,not_recommended,none,,none,"Only IDR 0 is safe on 2024-03-05, and no allowed plan keeps the balance above the IDR 17056200 minimum within 90 days."
request_38,261.06,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Wait until 2025-09-15 to pay EUR 971.3 in full; paying earlier would risk the EUR 400 minimum.
request_39,160378.32,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Wait until 2026-04-15 to pay INR 208600 in full; paying earlier would risk the INR 213400 minimum.
request_40,0,not_affordable,not_recommended,none,,none,"Only EUR 0 is safe on 2024-06-06, and no allowed plan keeps the balance above the EUR 1500 minimum within 90 days."
request_41,10101886.46,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Wait until 2026-01-15 to pay IDR 38760000 in full; paying earlier would risk the IDR 25366600 minimum.
request_42,0,not_affordable,not_recommended,none,,none,"Only INR 0 is safe on 2026-01-05, and no allowed plan keeps the balance above the INR 113100 minimum within 90 days."
request_43,8314458.79,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Wait until 2024-11-15 to pay IDR 43339000 in full; paying earlier would risk the IDR 21398000 minimum.
request_44,0,not_affordable,not_recommended,none,,none,"Only INR 0 is safe on 2025-02-04, and no allowed plan keeps the balance above the INR 82900 minimum within 90 days."
request_45,5033880.19,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Wait until 2026-09-15 to pay IDR 21983000 in full; paying earlier would risk the IDR 11149800 minimum.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,Use the supplied installment option starting 2024-12-03; the schedule stays above the INR 84000 minimum.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today while staying above the IDR 30049000 minimum over 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today while staying above the INR 71300 minimum over 90 days.
request_49,12325727.41,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,Use the supplied installment option starting 2024-03-18; the schedule stays above the IDR 20275700 minimum.
request_50,0,not_affordable,not_recommended,none,,none,"Only INR 0 is safe on 2025-08-06, and no allowed plan keeps the balance above the INR 99700 minimum within 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today while staying above the IDR 7811000 minimum over 90 days.
request_52,26530,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Wait until 2024-06-15 to pay INR 28870 in full; paying earlier would risk the INR 41500 minimum.
request_53,606.87,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-12-15,none,Use the supplied installment option starting 2025-11-21; the schedule stays above the USD 2100 minimum.
request_54,7797.76,not_affordable,not_recommended,none,,none,"Only ZAR 7797.76 is safe on 2026-07-04, and no allowed plan keeps the balance above the ZAR 37000 minimum within 90 days."
request_55,140943.3,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,Use the supplied installment option starting 2026-06-11; the schedule stays above the INR 124300 minimum.
request_56,803.6,affordable_with_plan,partial_payment,2025-02-03:803.6|2025-02-15:77.96,2025-02-15,none,Pay USD 803.6 now and the remainder on 2025-02-15; both payments stay above the USD 2100 minimum.
request_57,14668.81,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Wait until 2026-05-15 to pay ZAR 61446 in full; paying earlier would risk the ZAR 42700 minimum.
request_58,0,not_affordable,not_recommended,none,,none,"Only IDR 0 is safe on 2024-12-07, and no allowed plan keeps the balance above the IDR 14433900 minimum within 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Use the supplied installment option starting 2025-05-07; the schedule stays above the INR 132600 minimum.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today while staying above the USD 400 minimum over 90 days.
